HUNTBASE = [
	0, 5, 
	1, 5, 
	2, 5, 
	3, 5, 
	4, 5, 
	5, 5, 
	6, 5, 
	7, 5, 
	8, 5, 
	9, 5, 
	10, 5, 
	11, 5, 
	12, 5, 
	13, 5, 
	14, 5, 
	15, 5, 
	16, 5, 
	17, 5, 
	18, 5, 
	19, 5, 
	20, 5, 
	21, 5, 
	22, 5, 
	23, 5, 
	24, 5, 
	25, 5, 
	26, 5, 
	27, 5, 
	28, 5, 
	29, 5, 
	30, 5, 
	31, 5, 
	32, 5, 
	33, 5, 
	34, 5, 
	35, 5, 
	36, 5, 
	37, 5, 
	38, 5, 
	39, 5, 
	40, 96, 
	41, 96, 
	42, 97, 
	43, 103, 
	44, 104, 
	45, 104, 
	46, 106, 
	47, 106, 
	48, 107, 
	49, 107, 
	50, 113, 
	51, 113, 
	52, 113, 
	53, 120, 
	54, 121, 
	55, 121, 
	56, 123, 
	57, 123, 
	58, 129, 
	59, 130, 
	60, 130, 
	61, 132, 
	62, 132, 
	63, 138, 
	64, 139, 
	65, 139, 
	66, 141, 
	67, 142, 
	68, 142, 
	69, 143, 
	70, 149, 
	71, 149, 
	72, 150, 
	73, 157, 
	74, 158, 
	75, 165, 
	76, 166, 
	77, 173, 
	78, 174, 
	79, 174, 
	80, 175, 
	81, 175, 
	82, 175, 
	83, 175, 
	84, 175, 
	85, 175, 
	86, 175, 
	87, 175, 
	88, 175, 
	89, 175, 
	90, 175, 
	91, 175, 
	92, 175, 
	93, 175, 
	94, 175, 
	95, 175, 
	96, 175, 
	97, 175, 
	98, 175, 
	99, 175, 
	100, 175, 
]
HUNTRATIO = [
	0, 10, 
	1, 10, 
	2, 10, 
	3, 10, 
	4, 10, 
	5, 10, 
	6, 10, 
	7, 10, 
	8, 10, 
	9, 10, 
	10, 10, 
	11, 10, 
	12, 10, 
	13, 10, 
	14, 10, 
	15, 10, 
	16, 10, 
	17, 10, 
	18, 10, 
	19, 10, 
	20, 10, 
	21, 10, 
	22, 10, 
	23, 10, 
	24, 10, 
	25, 10, 
	26, 10, 
	27, 10, 
	28, 10, 
	29, 10, 
	30, 10, 
	31, 10, 
	32, 10, 
	33, 10, 
	34, 10, 
	35, 10, 
	36, 10, 
	37, 10, 
	38, 10, 
	39, 10, 
	40, 14, 
	41, 14, 
	42, 15, 
	43, 15, 
	44, 16, 
	45, 16, 
	46, 16, 
	47, 16, 
	48, 16, 
	49, 16, 
	50, 17, 
	51, 17, 
	52, 17, 
	53, 18, 
	54, 18, 
	55, 18, 
	56, 18, 
	57, 19, 
	58, 19, 
	59, 19, 
	60, 20, 
	61, 20, 
	62, 20, 
	63, 21, 
	64, 21, 
	65, 21, 
	66, 21, 
	67, 21, 
	68, 21, 
	69, 21, 
	70, 22, 
	71, 22, 
	72, 22, 
	73, 24, 
	74, 24, 
	75, 25, 
	76, 25, 
	77, 26, 
	78, 26, 
	79, 26, 
	80, 26, 
	81, 26, 
	82, 26, 
	83, 26, 
	84, 26, 
	85, 26, 
	86, 26, 
	87, 26, 
	88, 26, 
	89, 26, 
	90, 26, 
	91, 26, 
	92, 26, 
	93, 26, 
	94, 26, 
	95, 26, 
	96, 26, 
	97, 26, 
	98, 26, 
	99, 26, 
	100, 26, 
]
HUNTTIMES = [
	0, 1, 1, 
	2, 3, 2, 
	4, 5, 3, 
	6, 7, 4, 
	8, 9, 5, 
	10, 11, 6, 
	12, 13, 7, 
	14, 15, 8, 
	16, 17, 9, 
	18, 19, 10, 
	20, 21, 1, 
	22, 23, 2, 
	24, 25, 3, 
	26, 27, 4, 
	28, 29, 5, 
	30, 31, 6, 
	32, 33, 7, 
	34, 35, 8, 
	36, 37, 9, 
	38, 39, 10, 
	40, 41, 1, 
	42, 43, 2, 
	44, 45, 3, 
	46, 47, 4, 
	48, 49, 5, 
	50, 51, 6, 
	52, 53, 7, 
	54, 55, 8, 
	56, 57, 9, 
	58, 59, 10, 
	60, 61, 1, 
	62, 63, 2, 
	64, 65, 3, 
	66, 67, 4, 
	68, 69, 5, 
	70, 71, 6, 
	72, 73, 7, 
	74, 75, 8, 
	76, 77, 9, 
	78, 100000, 10, 
]
HUNTRAPE = [
	0, 6000, 972, 38, 1, 
	6001, 6100, 988, 38, 1, 
	6101, 6200, 1004, 38, 1, 
	6201, 6300, 1020, 38, 1, 
	6301, 6400, 1036, 38, 1, 
	6401, 6500, 1052, 40, 1, 
	6501, 6600, 1068, 40, 1, 
	6601, 6700, 1084, 40, 1, 
	6701, 6800, 1100, 40, 1, 
	6801, 6900, 1116, 40, 1, 
	6901, 7000, 1132, 40, 1, 
	7001, 7100, 1148, 40, 1, 
	7101, 7200, 1164, 40, 1, 
	7201, 7300, 1180, 42, 1, 
	7301, 7400, 1196, 42, 1, 
	7401, 7500, 1212, 42, 1, 
	7501, 7600, 1228, 42, 1, 
	7601, 7700, 1244, 42, 1, 
	7701, 7800, 1260, 42, 1, 
	7801, 7900, 1276, 42, 1, 
	7901, 8000, 1292, 44, 1, 
	8001, 8100, 1308, 44, 1, 
	8101, 8200, 1324, 44, 1, 
